Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220726\VL_CU_SMPS_CADR_20220726_SmokeOreck_Trial3.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Mass
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
131.0,0.003,0.001,0.001,0.000,0.001,11.976,10.056,6.315,3.816,2.406,1.541,1.010,0.634,0.422,0.264,0.171,0.113,0.071,0.044,0.032,0.019,0.013,0.010,0.006,0.005,0.003,0.002
135.8,0.003,0.001,0.001,0.001,0.001,13.416,11.140,7.133,4.272,2.735,1.729,1.120,0.699,0.440,0.298,0.189,0.116,0.081,0.052,0.030,0.020,0.016,0.009,0.008,0.004,0.004,0.002
140.7,0.003,0.002,0.001,0.001,0.000,14.940,12.315,7.777,4.729,3.015,1.886,1.200,0.765,0.492,0.310,0.198,0.129,0.086,0.050,0.037,0.025,0.014,0.010,0.008,0.006,0.003,0.002
145.9,0.003,0.002,0.001,0.001,0.000,16.605,13.711,8.598,5.163,3.334,2.045,1.341,0.841,0.537,0.345,0.222,0.140,0.092,0.063,0.041,0.026,0.017,0.014,0.012,0.006,0.003,0.003
151.2,0.004,0.003,0.001,0.001,0.000,18.349,15.034,9.312,5.653,3.668,2.269,1.439,0.927,0.586,0.370,0.236,0.154,0.096,0.069,0.042,0.029,0.020,0.013,0.009,0.005,0.006,0.004
156.8,0.004,0.003,0.002,0.001,0.001,19.894,16.409,10.194,6.193,3.925,2.445,1.569,0.970,0.618,0.391,0.252,0.166,0.098,0.071,0.045,0.031,0.021,0.013,0.011,0.006,0.006,0.003
162.5,0.007,0.003,0.001,0.002,0.000,21.788,17.797,11.113,6.777,4.260,2.691,1.700,1.066,0.668,0.420,0.268,0.183,0.119,0.073,0.051,0.033,0.019,0.016,0.010,0.009,0.004,0.005
168.5,0.006,0.004,0.002,0.001,0.001,23.681,19.200,11.982,7.270,4.632,2.836,1.808,1.162,0.688,0.454,0.299,0.185,0.122,0.080,0.053,0.029,0.019,0.016,0.010,0.007,0.007,0.005
174.7,0.006,0.003,0.002,0.001,0.002,25.606,20.678,12.887,7.767,4.922,3.094,1.938,1.202,0.758,0.471,0.322,0.191,0.131,0.088,0.051,0.034,0.024,0.016,0.010,0.008,0.005,0.004
181.1,0.006,0.005,0.002,0.002,0.000,27.318,22.065,13.716,8.337,5.299,3.260,2.053,1.277,0.789,0.519,0.325,0.203,0.131,0.085,0.051,0.038,0.026,0.016,0.011,0.008,0.007,0.005
187.7,0.006,0.003,0.002,0.001,0.001,29.174,23.584,14.629,8.853,5.472,3.410,2.154,1.359,0.814,0.531,0.331,0.219,0.153,0.093,0.058,0.038,0.026,0.020,0.010,0.006,0.007,0.006
194.6,0.009,0.004,0.004,0.002,0.002,30.927,24.772,15.281,9.317,5.775,3.558,2.210,1.404,0.848,0.560,0.342,0.228,0.130,0.093,0.065,0.038,0.028,0.020,0.011,0.012,0.009,0.008
201.7,0.011,0.006,0.003,0.002,0.002,32.248,25.827,15.824,9.810,5.984,3.683,2.317,1.404,0.874,0.579,0.341,0.227,0.150,0.096,0.060,0.038,0.028,0.017,0.011,0.008,0.007,0.005
209.1,0.011,0.007,0.004,0.003,0.002,33.417,26.567,16.199,9.862,6.089,3.741,2.315,1.442,0.877,0.541,0.347,0.233,0.138,0.095,0.062,0.043,0.030,0.022,0.016,0.008,0.007,0.007
216.7,0.011,0.002,0.004,0.001,0.003,34.124,27.392,16.732,10.217,6.129,3.897,2.403,1.493,0.894,0.587,0.356,0.220,0.156,0.096,0.069,0.043,0.030,0.018,0.014,0.009,0.006,0.008
224.7,0.017,0.007,0.007,0.002,0.002,34.648,27.782,16.837,10.199,6.218,3.893,2.400,1.454,0.883,0.568,0.359,0.220,0.147,0.093,0.055,0.034,0.022,0.023,0.014,0.008,0.010,0.006
232.9,0.012,0.004,0.004,0.002,0.002,35.161,27.834,16.680,10.238,6.208,3.885,2.300,1.425,0.896,0.569,0.352,0.194,0.136,0.088,0.064,0.044,0.030,0.017,0.013,0.013,0.008,0.006
241.4,0.010,0.008,0.003,0.005,0.002,35.450,27.651,16.625,10.082,6.074,3.798,2.273,1.388,0.866,0.521,0.344,0.199,0.140,0.090,0.061,0.034,0.031,0.016,0.014,0.014,0.006,0.005
250.3,0.011,0.009,0.003,0.002,0.001,34.652,27.149,16.100,9.714,6.006,3.659,2.221,1.385,0.852,0.506,0.317,0.180,0.117,0.094,0.060,0.034,0.030,0.016,0.013,0.005,0.008,0.008
259.5,0.011,0.006,0.007,0.002,0.003,34.256,26.391,15.440,9.522,5.854,3.413,2.181,1.265,0.791,0.494,0.312,0.184,0.138,0.091,0.053,0.040,0.024,0.015,0.018,0.010,0.007,0.003
269.0,0.011,0.006,0.002,0.003,0.001,32.905,25.479,14.733,9.109,5.399,3.317,2.022,1.233,0.717,0.444,0.272,0.174,0.114,0.086,0.053,0.036,0.021,0.016,0.011,0.009,0.003,0.006
278.8,0.008,0.008,0.004,0.002,0.000,31.455,24.061,13.755,8.305,4.885,2.914,1.860,1.136,0.652,0.407,0.232,0.160,0.107,0.052,0.044,0.028,0.021,0.015,0.007,0.007,0.007,0.006
289.0,0.018,0.004,0.002,0.002,0.002,29.521,22.249,12.946,7.636,4.623,2.784,1.670,1.035,0.613,0.394,0.234,0.154,0.078,0.060,0.044,0.023,0.025,0.010,0.010,0.005,0.005,0.004
299.6,0.008,0.004,0.001,0.002,0.000,27.104,20.607,11.848,7.109,4.146,2.548,1.574,0.904,0.523,0.347,0.209,0.125,0.077,0.056,0.031,0.015,0.017,0.009,0.006,0.006,0.007,0.002
310.6,0.003,0.003,0.000,0.001,0.001,24.692,18.541,10.889,6.111,3.830,2.235,1.412,0.764,0.485,0.268,0.175,0.088,0.090,0.055,0.031,0.017,0.013,0.011,0.006,0.006,0.004,0.005
322.0,0.004,0.002,0.004,0.000,0.001,22.341,16.797,9.665,5.622,3.328,1.986,1.166,0.708,0.407,0.254,0.151,0.091,0.067,0.033,0.024,0.016,0.010,0.013,0.002,0.001,0.004,0.007
333.8,0.004,0.004,0.003,0.000,0.003,19.771,14.674,8.557,4.864,2.991,1.704,0.959,0.610,0.357,0.200,0.157,0.077,0.048,0.026,0.024,0.012,0.013,0.001,0.003,0.007,0.001,0.004
346.0,0.007,0.002,0.001,0.003,0.000,17.200,12.700,7.164,4.130,2.475,1.548,0.855,0.515,0.303,0.178,0.116,0.043,0.028,0.033,0.013,0.012,0.007,0.007,0.003,0.004,0.003,0.004
358.7,0.005,0.003,0.003,0.000,0.007,15.037,10.933,6.187,3.544,1.977,1.190,0.667,0.388,0.261,0.137,0.088,0.057,0.034,0.027,0.022,0.005,0.008,0.003,0.007,0.004,0.000,0.002
371.8,0.006,0.000,0.000,0.000,0.000,12.725,9.141,5.032,2.954,1.660,0.957,0.551,0.337,0.180,0.109,0.061,0.033,0.025,0.019,0.008,0.008,0.008,0.008,0.002,0.000,0.002,0.000
385.4,0.000,0.002,0.002,0.002,0.002,10.430,7.604,4.325,2.502,1.459,0.821,0.494,0.246,0.168,0.085,0.066,0.054,0.028,0.017,0.009,0.004,0.000,0.004,0.002,0.002,0.000,0.000
399.5,0.000,0.000,0.000,0.000,0.000,8.394,6.315,3.389,1.937,1.099,0.689,0.379,0.227,0.127,0.096,0.049,0.024,0.019,0.017,0.010,0.005,0.005,0.000,0.000,0.000,0.000,0.000
414.2,0.003,0.003,0.000,0.000,0.000,6.944,4.968,2.872,1.452,0.940,0.543,0.283,0.193,0.132,0.064,0.022,0.025,0.019,0.000,0.003,0.000,0.000,0.011,0.003,0.003,0.003,0.000
429.4,0.000,0.000,0.000,0.000,0.000,5.614,4.119,2.092,1.213,0.746,0.406,0.232,0.139,0.063,0.068,0.028,0.019,0.018,0.003,0.009,0.003,0.000,0.000,0.000,0.000,0.000,0.009
445.1,0.000,0.000,0.000,0.000,0.000,4.744,3.443,1.874,0.963,0.564,0.388,0.168,0.133,0.049,0.028,0.021,0.021,0.005,0.014,0.000,0.000,0.004,0.000,0.000,0.004,0.000,0.004
461.4,0.004,0.000,0.000,0.000,0.004,3.654,2.473,1.415,0.768,0.497,0.260,0.164,0.060,0.040,0.036,0.012,0.008,0.004,0.004,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000
478.3,0.005,0.000,0.000,0.000,0.000,3.067,2.185,1.085,0.646,0.379,0.168,0.082,0.068,0.050,0.029,0.002,0.005,0.000,0.009,0.009,0.005,0.005,0.000,0.005,0.000,0.000,0.000
495.8,0.000,0.000,0.000,0.000,0.000,2.203,1.620,0.894,0.448,0.324,0.174,0.123,0.031,0.036,0.006,0.016,0.000,0.005,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
514.0,0.000,0.000,0.000,0.000,0.000,1.727,1.213,0.609,0.321,0.200,0.157,0.046,0.035,0.023,0.026,0.014,0.000,0.000,0.000,0.006,0.000,0.006,0.000,0.000,0.000,0.000,0.000
532.8,0.000,0.000,0.000,0.000,0.000,1.262,0.934,0.564,0.349,0.205,0.119,0.033,0.040,0.026,0.026,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
552.3,0.007,0.000,0.000,0.000,0.000,1.065,0.789,0.415,0.221,0.124,0.060,0.090,0.007,0.015,0.015,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000
572.5,0.000,0.000,0.000,0.000,0.000,0.942,0.509,0.363,0.154,0.102,0.051,0.025,0.017,0.008,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
593.5,0.000,0.010,0.000,0.000,0.000,0.574,0.358,0.261,0.131,0.057,0.077,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
